"","License.Issue.Date","License.Number","Animal.s.Name","Species","Primary.Breed","Secondary.Breed","ZIP.Code","Year","Avg.AGI","SES"
"166",2022-01-13,"22072","Beau","Cat","Domestic Medium Hair","","98121",2022,128.0871005,"High"
"167",2022-01-13,"S111017","Lona","Cat","Domestic Shorthair","Siamese","98125",2022,64.3982,"Medium"
"168",2022-01-13,"S111018","Sydney","Cat","Domestic Shorthair","Siamese","98125",2022,64.3982,"Medium"
"169",2022-01-13,"S134415","Ping","Cat","Domestic Shorthair","Mix","98119",2022,111.5524498,"High"
"170",2022-01-13,"S134416","Fenn","Cat","Siamese","Mix","98119",2022,111.5524498,"High"
"171",2022-01-13,"8035564","Dominic","Cat","Domestic Medium Hair","Mix","98126",2022,70.93753425,"Medium"
"172",2022-01-14,"8035575","Fish","Cat","American Shorthair","Mix","98102",2022,94.8156801,"Medium"
"173",2022-01-14,"8014755","Anjou","Cat","Chartreux","Mix","98103",2022,85.42767318,"Medium"
"174",2022-01-14,"8035585","Coquine","Cat","Colourpoint Shorthair","","98178",2022,51.03735537,"Medium"
"175",2022-01-15,"22130","Jasper","Cat","Domestic Medium Hair","","98115",2022,100.7467087,"High"
"176",2022-01-15,"28707","Mozart","Cat","Domestic Shorthair","","98136",2022,104.9786052,"High"
"177",2022-01-16,"S157865","Moxee","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"178",2022-01-16,"S158123","Betty Boop","Cat","Domestic Shorthair","Mix","98118",2022,56.95778073,"Medium"
"179",2022-01-16,"8035626","Snuggles","Cat","American Shorthair","Mix","98125",2022,64.3982,"Medium"
"180",2022-01-16,"S149274","Luigi","Cat","American Shorthair","Mix","98144",2022,76.60438247,"Medium"
"181",2022-01-17,"8035637","Wallace","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"182",2022-01-18,"8035657","Minnie Anna Rose","Cat","Domestic Longhair","Mix","98117",2022,93.9535877,"Medium"
"183",2022-01-18,"S157355","Lala","Cat","Domestic Shorthair","Mix","98105",2022,108.5212338,"High"
"184",2022-01-18,"S118154","Kedi","Cat","American Shorthair","Domestic Shorthair","98106",2022,50.07752,"Medium"
"185",2022-01-18,"8035661","Viktor","Cat","Siamese","Domestic Shorthair","98117",2022,93.9535877,"Medium"
"186",2022-01-18,"8015104","Oblia","Cat","Domestic Shorthair","","98107",2022,77.42486188,"Medium"
"187",2022-01-18,"22011","Mario","Cat","Domestic Shorthair","","98133",2022,55.06720631,"Medium"
"188",2022-01-18,"22367","Santiago","Cat","Domestic Medium Hair","","98103",2022,85.42767318,"Medium"
"189",2022-01-19,"8035684","Haddie","Cat","American Shorthair","Mix","98115",2022,100.7467087,"High"
"190",2022-01-19,"8035685","Biz","Cat","American Shorthair","Mix","98115",2022,100.7467087,"High"
"191",2022-01-19,"22327","Myelin","Cat","Domestic Medium Hair","","98112",2022,202.574526,"High"
"192",2022-01-19,"22328","Basil","Cat","Domestic Shorthair","Siamese","98112",2022,202.574526,"High"
"193",2022-01-19,"S148828","Theo","Cat","Domestic Shorthair","Mix","98106",2022,50.07752,"Medium"
"194",2022-01-19,"S158133","Harvest","Cat","Domestic Shorthair","Mix","98125",2022,64.3982,"Medium"
"195",2022-01-19,"S158135","Quark","Cat","Domestic Shorthair","Mix","98122",2022,77.25699641,"Medium"
"196",2022-01-20,"S157870","Jayce","Cat","Domestic Shorthair","Mix","98121",2022,128.0871005,"High"
"197",2022-01-20,"8035721","Minnie","Cat","Domestic Shorthair","","98144",2022,76.60438247,"Medium"
"198",2022-01-20,"8035724","Betsy","Cat","Domestic Shorthair","Mix","98144",2022,76.60438247,"Medium"
"199",2022-01-20,"S158140","Ginger","Cat","Siamese","Mix","98102",2022,94.8156801,"Medium"
"200",2022-01-21,"S157871","Sabine","Cat","Domestic Shorthair","Mix","98121",2022,128.0871005,"High"
"201",2022-01-21,"8035739","Snappy","Cat","Domestic Shorthair","Mix","98105",2022,108.5212338,"High"
"202",2022-01-21,"S158142","Divina","Cat","Domestic Medium Hair","Mix","98102",2022,94.8156801,"Medium"
"203",2022-01-21,"S158144","Lella","Cat","Domestic Shorthair","Mix","",2022,NA,NA
"204",2022-01-21,"S111204","Miyla Mae Fristensky","Cat","Domestic Shorthair","","98119",2022,111.5524498,"High"
"205",2022-01-21,"S158145","Poppy","Cat","American Shorthair","Mix","98119",2022,111.5524498,"High"
"206",2022-01-22,"8035775","Momo","Cat","American Shorthair","Mix","98103",2022,85.42767318,"Medium"
"207",2022-01-22,"S158151","Ember","Cat","Domestic Shorthair","Mix","98199",2022,130.7781505,"High"
"208",2022-01-22,"8035777","Eloise","Cat","Domestic Shorthair","Mix","98119",2022,111.5524498,"High"
"209",2022-01-22,"S158154","Cannellini Bean","Cat","Domestic Shorthair","Mix","98116",2022,98.37759883,"Medium"
"210",2022-01-22,"S100981","Ra's","Cat","Domestic Longhair","Mix","98199",2022,130.7781505,"High"
"211",2022-01-22,"S158155","Pollo Con Crema","Cat","Domestic Shorthair","Mix","98056",2022,72.25529899,"Medium"
"212",2022-01-23,"8035782","Wanda","Cat","Domestic Shorthair","Mix","98122",2022,77.25699641,"Medium"
"213",2022-01-23,"S137493","Louise","Cat","Domestic Shorthair","","98105",2022,108.5212338,"High"
"214",2022-01-23,"8015138","Annie","Cat","Domestic Shorthair","Mix","98115",2022,100.7467087,"High"
"215",2022-01-23,"8035797","Harper","Cat","Birman","Siamese","98146",2022,57.92258806,"Medium"
"216",2022-01-23,"8035798","Atticus","Cat","Domestic Shorthair","","98146",2022,57.92258806,"Medium"
"217",2022-01-23,"8035808","Zuul","Cat","Domestic Medium Hair","Mix","98125",2022,64.3982,"Medium"
"218",2022-01-23,"8035809","Jack","Cat","Domestic Medium Hair","Mix","98125",2022,64.3982,"Medium"
"219",2022-01-24,"S111308","Mackintosh","Cat","Domestic Shorthair","","98105",2022,108.5212338,"High"
"220",2022-01-24,"S111076","Pipsqueak","Cat","Domestic Longhair","","98125",2022,64.3982,"Medium"
"221",2022-01-24,"22693","Pluto","Cat","Domestic Shorthair","","98122",2022,77.25699641,"Medium"
